gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|09155,109.2409,5.3668,0.2933,18.2985,8.505e-75,1.439e-73,ankyrin repeat protein
1104|09156,9.1396,7.2973,2.0123,3.6263,0.0002875,0.000542,---NA---
1104|09157,322.7267,5.6922,1.4238,3.9979,6.39e-05,0.0001293,---NA---
1104|09162,43.5146,0.631,0.3323,1.8988,0.05759,0.0791,isoflavone reductase family protein
1104|09163,1.4836,2.9509,1.6649,1.7724,0.07633,0.1021,fungal specific transcription factor domain-containing protein
1104|09164,90.2454,-1.8305,0.1829,-10.0098,1.38e-23,7.474e-23,blue light receptor
1104|09165,1.9231,-3.0115,1.1347,-2.6541,0.007952,0.01254,hypothetical protein CGGC5_14683
1104|09166,5.316,5.8444,2.1382,2.7333,0.006271,0.01005,ctr copper transporter family protein
1104|09167,33.6199,0.1337,0.232,0.576,0.5646,0.6182,monocarboxylate permease-like protein
1104|09169,32.6323,-1.6616,0.2482,-6.6936,2.177e-11,6.924e-11,hypothetical protein CGGC5_8592
1104|09170,72.5358,-1.2035,0.1923,-6.2585,3.887e-10,1.151e-09,short chain dehydrogenase
1104|09171,14.0495,-2.6776,0.4512,-5.9348,2.943e-09,8.212e-09,hypothetical protein CGGC5_14686
1104|09172,401.9398,-2.4984,0.1792,-13.9457,3.341e-44,3.257e-43,gas1-like protein
1104|09173,103.8829,1.3609,0.2216,6.1426,8.119e-10,2.361e-09,hypothetical protein CGGC5_8599
1104|09174,47.9733,1.0389,0.2631,3.9486,7.86e-05,0.0001576,duf1264 domain protein
1104|09175,33.2648,-1.3058,0.256,-5.1011,3.377e-07,8.191e-07,aliphatic nitrilase
1104|09176,98.1897,1.4584,0.1512,9.6472,5.052e-22,2.611e-21,hypothetical protein CGGC5_8604
1104|09177,7.3322,3.6717,0.8726,4.2077,2.58e-05,5.393e-05,cation-transporting atpase pma1
1104|09178,11.6356,7.8418,2.008,3.9053,9.411e-05,0.0001871,---NA---
1104|09179,1.5226,1.1459,1.0811,1.06,0.2892,0.3402,fad binding domain-containing protein
1104|09180,7.6049,7.0356,1.9899,3.5356,0.0004068,0.0007534,hypothetical protein CGGC5_8594
1104|09182,40.5508,0.9574,0.2541,3.7672,0.0001651,0.0003197,exoglucanase type c precursor
1104|09183,12.9843,7.6304,1.4123,5.4028,6.559e-08,1.67e-07,---NA---
1104|09184,1459.7569,-4.2387,0.121,-35.0367,6.212e-269,1.152e-266,hypothetical protein CFIO01_05512
1104|09185,21.9826,9.4188,2.4553,3.8361,0.000125,0.0002451,---NA---
1104|09186,3.0768,5.3702,2.0223,2.6555,0.007919,0.01249,duf636 domain-containing protein
1104|09188,31.0178,3.6794,0.6874,5.3527,8.664e-08,2.19e-07,hypothetical protein CH063_06885
1104|09189,110.9141,1.1256,0.2151,5.2341,1.658e-07,4.126e-07,integral membrane protein
1104|09192,1.8808,4.4704,2.0864,2.1426,0.03214,0.04616,ctr copper transporter
1104|09193,73.671,1.1768,0.247,4.7648,1.89e-06,4.349e-06,ubiquitin carboxyl-terminal hydrolase
1104|09194,96.3138,-1.6791,0.1582,-10.6149,2.54e-26,1.518e-25,---NA---
1104|09195,175.2165,-2.6822,0.1772,-15.14,8.817e-52,1.012e-50,alpha amylase
1104|09196,117.0539,-2.9303,0.1976,-14.8277,9.703e-50,1.065e-48,key lime pathogenicity protein
1104|09197,4.9955,0.6722,4.7307,0.1421,0.887,0.9132,salicylate hydroxylase
1104|09199,117.0201,-1.95,0.761,-2.5624,0.01039,0.01613,---NA---
1104|09200,25.9485,3.1628,0.5539,5.7098,1.131e-08,3.036e-08,glucosidase ii beta subunit-like protein
1104|09201,1545.7705,2.1041,0.1688,12.4686,1.107e-35,8.627e-35,nacht and ankyrin domain protein
1104|09203,21.414,-0.2895,4.9209,-0.0588,0.9531,0.9593,glutathione-dependent formaldehyde-activating enzyme
1104|09204,9.0265,4.8858,0.8131,6.0088,1.869e-09,5.302e-09,mfs monocarboxylate
1104|09205,4.986,-2.2951,1.2371,-1.8553,0.06356,0.08653,ent-kaurene oxidase
1104|09206,7.3293,1.2929,0.536,2.4121,0.01586,0.02388,minor extracellular protease vpr
1104|09207,10.0548,-1.2185,0.6752,-1.8047,0.07113,0.09585,glycosyl hydrolase family 11
1104|09209,15.0026,2.8606,0.4848,5.9006,3.622e-09,1.006e-08,amino acid permease
1104|09210,19.4946,0.6722,2.4008,0.28,0.7795,0.8193,hypothetical protein CGGC5_1982
1104|09211,55.5184,1.8379,0.179,10.267,9.923e-25,5.63e-24,major facilitator superfamily transporter
1104|09212,52.6655,-0.734,0.2653,-2.7671,0.005655,0.009123,fungal specific transcription factor domain-containing protein
1104|09213,0.671,-3.411,2.2618,-1.5081,0.1315,0.1672,het domain-containing protein
1104|09214,51.7491,-1.0446,0.1878,-5.5637,2.64e-08,6.896e-08,hypothetical protein CGLO_14381
1104|09215,1.4059,-5.7572,2.3727,-2.4264,0.01525,0.02302,hypothetical protein CGGC5_210
1104|09216,86.5082,1.9803,0.2709,7.3092,2.687e-13,9.554e-13,hypothetical protein CGGC5_12124
1104|09218,1.4574,-5.7867,2.2519,-2.5697,0.01018,0.01582,abc transporter
1104|09223,551.397,-1.9171,0.1391,-13.7779,3.461e-43,3.281e-42,fungal zn binuclear cluster domain-containing protein
1104|09225,96.9812,-1.0135,0.1637,-6.1903,6.006e-10,1.759e-09,vhs domain-containing protein
1104|09226,98.6053,-1.4741,0.3899,-3.7806,0.0001565,0.0003037,ethyl tert-butyl ether degradation protein
1104|09227,24.2267,0.7428,0.3051,2.4349,0.0149,0.02252,hydantoinase b oxoprolinase
1104|09230,58.4883,1.7092,0.2045,8.3568,6.446e-17,2.73e-16,phosphoglycerate mutase
1104|09231,50.3285,-0.4703,0.2931,-1.6045,0.1086,0.1409,glucose oxidase
1104|09232,53.8701,2.3046,0.2605,8.8456,9.102e-19,4.136e-18,alpha amylase
1104|09233,0.7052,2.4414,2.1644,1.128,0.2593,0.3082,hsp70-like protein
1104|09234,0.4802,2.7888,2.7102,1.029,0.3035,0.3554,c6 zinc finger domain-containing protein
1104|09235,131.6047,0.6071,0.1329,4.5667,4.954e-06,1.103e-05,activator of hsp90 atpase 1 family protein
1104|09236,49.1197,-0.5623,0.2149,-2.6163,0.008889,0.01394,elongation factor tu gtp binding domain-containing protein
1104|09237,86.6569,-2.1269,0.3789,-5.6131,1.987e-08,5.236e-08,hypothetical protein CGGC5_13114
1104|09238,125.2467,-0.7053,0.1506,-4.6828,2.83e-06,6.421e-06,c6 zinc finger domain-containing protein
1104|09240,2.4951,1.0462,0.6815,1.5352,0.1247,0.1596,hypothetical protein CGGC5_203
1104|09241,111.1878,-8.0935,0.5617,-14.4078,4.619e-47,4.792e-46,heterokaryon incompatibility protein
1104|09242,139.8251,-6.7736,0.3384,-20.0159,4.007e-89,8.772e-88,hypothetical protein CGLO_15352
1104|09243,911.5482,1.1901,0.1512,7.87,3.547e-15,1.381e-14,protein kinase domain-containing protein
1104|09244,214.9223,0.1964,0.1555,1.2627,0.2067,0.2514,ribonuclease h protein
1104|09245,1.6087,-1.3624,1.6535,-0.8239,0.41,0.4651,ribonuclease h protein
1104|09246,25.7332,4.1811,0.5143,8.129,4.33e-16,1.76e-15,tannase and feruloyl esterase
1104|09247,187.009,-2.1582,0.1457,-14.8145,1.18e-49,1.294e-48,n- gnat
1104|09248,93.3804,0.1515,0.3515,0.4312,0.6664,0.7139,het domain-containing protein
1104|09249,3.234,-0.758,0.7656,-0.9901,0.3221,0.3744,---NA---
1104|09250,36.3683,-2.7333,0.2648,-10.3227,5.562e-25,3.183e-24,---NA---
1104|09251,46.2392,-3.3303,0.2441,-13.6413,2.274e-42,2.119e-41,hypothetical protein CH063_07015
1104|09252,62.0515,5.7164,0.5516,10.3627,3.665e-25,2.107e-24,---NA---
1104|09253,95.3779,-0.1795,0.14,-1.2827,0.1996,0.2434,mannosyl-3-phosphoglycerate synthase
1104|09254,97.6803,2.6487,0.2721,9.7338,2.164e-22,1.13e-21,hypothetical protein CGLO_15657
1104|09255,61.3234,1.6895,0.2385,7.0844,1.397e-12,4.78e-12,---NA---
1104|09256,81.9248,0.6225,0.2554,2.4374,0.01479,0.02237,esterase-like protein
1104|09257,122.7718,-1.1301,0.1241,-9.1082,8.38e-20,3.955e-19,domain-containing protein
1104|09258,4.7606,0.9765,0.6065,1.6101,0.1074,0.1394,hypothetical protein CGLO_01738
1104|09259,6.5565,-3.3298,0.6041,-5.5121,3.546e-08,9.174e-08,vacuolar protein sorting protein vps66
1104|09260,42.9954,-0.0598,0.2402,-0.249,0.8033,0.8389,ino80 chromatin remodeling complex protein
1104|09262,110.0089,0.3904,0.1334,2.927,0.003422,0.005673,secreted protein
1104|09263,13.1245,2.5971,0.4901,5.2992,1.163e-07,2.917e-07,fungal specific transcription factor
1104|09264,145.8916,0.906,0.1656,5.47,4.5e-08,1.156e-07,thioesterase domain-containing protein
1104|09265,20.7648,2.5066,0.3599,6.9644,3.297e-12,1.104e-11,dihydroxy-acid dehydratase
1104|09266,31.2557,3.2066,1.0895,2.9431,0.003249,0.005403,---NA---
