gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|09898,156.5364,0.0414,0.261,0.1588,0.8738,0.9046,major facilitator superfamily transporter
1104|09899,36.7117,0.4558,0.2508,1.8179,0.06908,0.1,methyltransferase domain-containing protein
1104|09901,147.4627,-3.8307,0.3435,-11.1512,7.068e-29,5.433e-28,---NA---
1104|09902,4.2511,-3.0035,0.8354,-3.5952,0.0003241,0.0006697,integral membrane protein
1104|09903,0.8224,1.6311,1.431,1.1398,0.2544,0.3187,5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase
1104|09904,1.8797,-3.1335,2.2415,-1.3979,0.1621,0.2147,hypothetical protein CGGC5_1444
1104|09905,6.9868,-1.7399,0.4482,-3.8823,0.0001035,0.000226,2og-fe oxygenase
1104|09906,1.3254,-3.2402,2.427,-1.3351,0.1818,0.2376,glycosyl hydrolase family 20
1104|09908,38.8572,-0.7179,0.3585,-2.0027,0.04521,0.06795,cytochrome p450 monooxygenase
1104|09909,7.1198,-5.3393,0.7736,-6.9018,5.133e-12,1.972e-11,hypothetical protein NECHADRAFT_88409
1104|09910,3.9229,-3.1003,0.8115,-3.8205,0.0001332,0.0002877,trascription factor
1104|09911,0.9716,-1.1353,1.7023,-0.6669,0.5048,0.5777,sister chromatid separation protein
1104|09913,180.5799,-0.5061,0.1649,-3.0699,0.002141,0.004008,hypothetical protein CGGC5_4107
1104|09914,23.7868,-0.6916,0.2829,-2.4449,0.01449,0.02382,major facilitator superfamily
1104|09917,230.6835,-0.0326,0.1561,-0.2088,0.8346,0.8726,hypothetical protein CGGC5_4105
1104|09918,572.4648,1.2864,0.217,5.9296,3.036e-09,9.827e-09,hypothetical protein CSUB01_03731
1104|09919,43.2217,-0.1077,0.3455,-0.3116,0.7554,0.8116,hypothetical protein CGGC5_4106
1104|09920,133.3524,-0.0685,0.2034,-0.337,0.7361,0.7944,hypothetical protein CGGC5_4108
1104|09921,75.8975,1.0375,0.1705,6.0846,1.168e-09,3.875e-09,c6 zinc finger domain protein
1104|09922,180.2846,0.6179,0.1441,4.2881,1.802e-05,4.276e-05,hypothetical protein CSUB01_06982
1104|09923,4.5756,1.1165,2.2789,0.4899,0.6242,0.6925,hypothetical protein OOU_Y34scaffold01179g5
1104|09924,543.7271,-0.5151,0.1475,-3.4928,0.0004779,0.0009713,hypothetical protein OOW_P131scaffold01248g2
1104|09925,159.9701,4.0934,0.3235,12.6524,1.085e-36,1.039e-35,hypothetical protein V490_06595
1104|09926,9.0934,-2.2218,0.5489,-4.0476,5.176e-05,0.000117,---NA---
1104|09927,54.2941,0.0231,0.1643,0.1409,0.888,0.9137,hypothetical protein CGGC5_15467
1104|09929,128.7331,2.7827,0.2124,13.0983,3.367e-39,3.39e-38,---NA---
1104|09930,502.1461,-4.6091,0.1085,-42.4825,0.0,0.0,ankyrin repeat protein
1104|09931,23.7008,7.8699,1.4357,5.4815,4.218e-08,1.258e-07,atp-dependent dna helicase pif1
1104|09933,36.4412,3.8205,0.4312,8.8591,8.066e-19,4.355e-18,nucleolar protein 12
1104|09934,228.161,-0.8268,0.1319,-6.2666,3.69e-10,1.266e-09,kinetoplast-associated protein kap
1104|09935,36.7,0.1953,0.4405,0.4435,0.6574,0.7228,---NA---
1104|09936,8.5942,1.8107,0.6179,2.9302,0.003387,0.006169,---NA---
1104|09937,74.416,-0.4181,0.2022,-2.0679,0.03865,0.05908,srebp cleavage activating protein
1104|09938,19.2594,3.1092,0.4587,6.7785,1.214e-11,4.555e-11,set domain-containing protein
1104|09939,35.4959,2.0895,0.2713,7.7031,1.328e-14,5.874e-14,hypothetical protein CGGC5_3701
1104|09940,445.5427,-5.45,0.3128,-17.4232,5.499e-68,1.019e-66,hypothetical protein CGGC5_2322
1104|09941,232.6129,0.9155,0.1293,7.0822,1.419e-12,5.622e-12,adomet-dependent trna methyltransferase complex subunit
1104|09942,27.425,-0.7053,0.2521,-2.7974,0.005152,0.009142,ndt80 like dna-binding family protein
1104|09943,300.3638,0.6663,0.1794,3.7146,0.0002035,0.0004305,adenosine deaminase family protein
1104|09944,207.5207,-2.4355,0.1343,-18.1369,1.629e-73,3.299e-72,membrane dipeptidase
1104|09945,14.7048,2.2323,0.6654,3.3547,0.0007946,0.001573,pap2 superfamily protein
1104|09947,2.1722,-0.7454,2.1224,-0.3512,0.7254,0.7852,ap-3 complex subunit delta
1104|09948,401.3522,-1.4522,0.0959,-15.1478,7.836e-52,1.045e-50,cyclase dehydrase family protein
1104|09949,7.0074,4.8759,2.1269,2.2926,0.02187,0.03481,hypothetical protein CGLO_06948
1104|09952,7.9462,-1.5853,0.4551,-3.4832,0.0004954,0.001006,actin lateral binding protein
1104|09953,50.7065,2.8026,0.2789,10.0498,9.207e-24,6.012e-23,er protein big1
1104|09954,16.1661,-1.4796,0.4233,-3.4954,0.0004734,0.0009625,phospholipase a2
1104|09956,93.6629,-0.4114,0.1558,-2.6409,0.008267,0.01416,hypothetical protein CGGC5_3671
1104|09957,8.8227,7.758,1.9921,3.8944,9.843e-05,0.0002157,zinc finger protein
1104|09961,38.2285,3.4557,0.4703,7.3473,2.022e-13,8.389e-13,hypothetical protein CGGC5_15130
1104|09962,26.0268,-1.1468,0.3283,-3.4933,0.000477,0.0009696,wsc domain containing protein
1104|09963,176.1762,1.4979,0.171,8.762,1.919e-18,1.018e-17,las1 protein
1104|09964,129.9492,2.5416,0.277,9.1771,4.43e-20,2.526e-19,hypothetical protein CGGC5_15131
1104|09965,108.326,0.2523,0.1834,1.3756,0.1689,0.2228,saccharopine dehydrogenase
1104|09967,361.1754,-4.9116,0.1416,-34.6796,1.602e-263,2.329e-261,hypothetical protein CGLO_14441
1104|09968,65.4966,-2.0484,0.2728,-7.5092,5.949e-14,2.545e-13,transmembrane hyphal anastomosis protein ham2 far11
1104|09969,14.7694,4.5026,1.9795,2.2746,0.02293,0.03637,---NA---
1104|09970,1.2572,-0.2719,1.1588,-0.2346,0.8145,0.8568,pfkb family kinase
1104|09971,31.179,-3.4354,0.3541,-9.7024,2.944e-22,1.812e-21,hypothetical protein CGGC5_3682
1104|09972,2.4097,4.2755,2.0823,2.0533,0.04004,0.06099,hypothetical protein CGGC5_3689
1104|09973,52.5902,2.6111,0.2714,9.6223,6.436e-22,3.909e-21,ras-like protein rab7
1104|09975,124.8585,1.6579,0.4069,4.0741,4.618e-05,0.000105,---NA---
1104|09977,23.2433,2.898,0.916,3.1637,0.001558,0.002974,aro80-positive transcription regulator of aro9 and aro10
1104|09979,100.3851,-0.2886,0.1734,-1.6647,0.09597,0.1344,kinesin family protein
1104|09980,54.6312,4.0046,0.3588,11.1621,6.251e-29,4.813e-28,peptidase c14
1104|09981,155.0545,-0.5665,0.1186,-4.7749,1.798e-06,4.673e-06,hypothetical protein CGLO_07395
1104|09982,37.0228,-3.1144,0.26,-11.9793,4.559e-33,3.973e-32,glucose-repressible gene protein
1104|09983,59.2896,-3.2721,0.4414,-7.4138,1.227e-13,5.165e-13,hypothetical protein CGGC5_3690
1104|09986,24.9556,1.069,0.2569,4.1612,3.166e-05,7.319e-05,hypothetical protein CGGC5_3685
