sample,mate,cycle,mean_q,q25,median_q,q75,n_reads
APP2,1,47,40.409,42.0,42.0,42.0,100000
APP2,1,48,40.337,42.0,42.0,42.0,100000
APP2,1,49,40.367,42.0,42.0,42.0,100000
APP2,1,50,40.299,42.0,42.0,42.0,100000
APP2,1,51,40.367,42.0,42.0,42.0,100000
APP2,1,52,40.351,42.0,42.0,42.0,100000
APP2,1,53,40.34,42.0,42.0,42.0,100000
APP2,1,54,40.362,42.0,42.0,42.0,100000
APP2,1,55,40.301,42.0,42.0,42.0,100000
APP2,1,56,40.339,42.0,42.0,42.0,100000
APP2,1,57,40.317,42.0,42.0,42.0,100000
APP2,1,58,40.214,42.0,42.0,42.0,100000
APP2,1,59,40.291,42.0,42.0,42.0,100000
APP2,1,60,40.231,42.0,42.0,42.0,100000
APP2,1,61,40.33,42.0,42.0,42.0,100000
APP2,1,62,40.308,42.0,42.0,42.0,100000
APP2,1,63,40.422,42.0,42.0,42.0,100000
APP2,1,64,40.317,42.0,42.0,42.0,100000
APP2,1,65,40.353,42.0,42.0,42.0,100000
APP2,1,66,40.366,42.0,42.0,42.0,100000
APP2,1,67,40.296,42.0,42.0,42.0,100000
APP2,1,68,40.196,42.0,42.0,42.0,100000
APP2,1,69,40.178,42.0,42.0,42.0,100000
APP2,1,70,40.134,42.0,42.0,42.0,100000
APP2,1,71,40.168,42.0,42.0,42.0,100000
APP2,1,72,40.26,42.0,42.0,42.0,100000
APP2,1,73,40.235,42.0,42.0,42.0,100000
APP2,1,74,40.167,42.0,42.0,42.0,100000
APP2,1,75,40.283,42.0,42.0,42.0,100000
APP2,1,76,39.534,37.0,42.0,42.0,100000
APP2,1,77,39.837,42.0,42.0,42.0,100000
APP2,1,78,39.992,42.0,42.0,42.0,100000
APP2,1,79,40.151,42.0,42.0,42.0,100000
APP2,1,80,40.112,42.0,42.0,42.0,100000
APP2,1,81,40.007,42.0,42.0,42.0,100000
APP2,1,82,40.086,42.0,42.0,42.0,100000
APP2,1,83,39.724,42.0,42.0,42.0,100000
