gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|11207,17,17,11,115,129,124,39,35,106,9,16,15
1104|11208,3,11,8,21,19,18,80,96,151,1,6,3
1104|11209,4,5,10,16,14,13,1949,2004,4004,0,0,3
1104|11210,0,1,1,2,5,11,193,224,480,1,6,2
1104|11211,111,160,183,34,70,71,104,124,133,1,14,7
1104|11212,5,8,7,2,0,1,0,1,0,0,0,0
1104|11213,3,2,3,72,48,107,3,1,8,0,2,0
1104|11214,302,359,423,222,351,345,138,183,147,61,77,46
1104|11215,625,745,850,333,331,463,667,515,671,4,24,5
1104|11216,0,0,0,0,2,1,0,0,0,0,6,4
1104|11217,15,9,12,7,4,2,4,3,3,1,8,4
1104|11218,28,32,52,150,174,170,252,327,485,0,3,2
1104|11219,0,0,0,38,50,56,113,111,136,0,1,0
1104|11220,6,5,5,54,56,38,49,51,83,2,3,3
1104|11221,43,47,55,115,158,148,106,105,114,2,5,0
1104|11222,3,1,3,1,4,1,1,0,0,7,9,7
1104|11223,1,0,3,2,0,4,0,0,0,0,0,0
1104|11224,0,0,2,0,0,1,478,571,786,0,0,0
1104|11225,177,176,234,174,196,242,43,33,34,10,40,13
1104|11226,0,0,1,4,9,9,4,5,9,0,3,0
1104|11227,7,6,4,29,24,27,268,282,578,7,32,16
1104|11228,1,4,2,4,15,9,16,22,15,0,2,0
1104|11229,0,0,0,0,0,0,2,3,1,0,0,0
1104|11230,0,3,1,6,3,7,3,1,2,0,1,0
1104|11231,0,0,0,0,0,0,2,1,1,0,2,0
1104|11232,0,0,0,0,0,0,0,0,0,0,0,0
1104|11233,0,1,1,1,2,3,34,46,60,0,7,3
1104|11234,0,0,0,0,0,0,1,3,3,0,0,0
1104|11235,29,31,49,5,9,10,19,10,11,0,0,0
1104|11236,0,0,0,0,0,0,2,6,2,0,0,0
1104|11237,1,1,0,0,0,0,0,9,8,0,1,0
1104|11238,17,36,28,8,8,3,4,7,4,0,0,0
1104|11239,0,0,1,0,0,0,0,1,1,0,0,0
1104|11240,8,4,6,0,0,1,6,2,11,0,0,1
1104|11241,8,3,2,1,2,8,7,8,14,0,1,0
1104|11242,81,87,124,39,40,40,39,40,49,1,6,0
1104|11243,0,0,0,0,0,0,10,5,13,0,0,0
1104|11244,0,4,0,0,1,0,2,0,1,0,0,0
1104|11245,15,16,24,146,202,170,114,183,193,3,7,2
1104|11246,0,0,1,0,0,0,0,0,1,0,0,0
1104|11247,78,117,125,475,626,533,403,431,650,4,34,18
1104|11248,35,47,55,88,113,109,86,86,90,2,11,8
1104|11249,1,0,0,11,18,10,3,7,10,1,3,3
1104|11250,6,8,25,397,603,590,240,366,198,5,12,4
1104|11251,7,17,17,9,5,5,6,16,13,4,4,6
1104|11252,66,64,97,112,148,179,79,110,100,3,17,13
1104|11253,2553,3023,3530,907,1297,1380,838,966,681,190,371,271
1104|11254,0,0,1,0,2,1,2,1,4,0,0,0
1104|11255,24,24,38,81,71,86,81,95,107,7,9,6
1104|11256,285,359,375,895,1200,1167,927,1100,881,27,80,56
1104|11257,143,136,184,169,200,175,82,135,118,10,31,14
1104|11258,8,5,10,206,311,346,44,53,66,9,16,11
1104|11259,11,4,1,2,4,1,7,7,8,1,4,1
1104|11260,0,0,0,0,2,0,1,1,3,1,1,1
1104|11261,204,277,315,326,404,385,113,84,82,6,10,6
1104|11262,515,691,751,1422,1469,1223,1527,1362,2268,35,76,28
1104|11263,0,0,0,11,6,18,18,35,30,0,2,0
1104|11264,620,741,846,386,498,541,173,226,213,24,51,28
1104|11265,230,285,308,157,188,184,177,171,240,10,21,10
1104|11266,14,18,19,2789,5552,4291,2331,2655,1720,48,179,82
1104|11267,0,1,2,229,183,233,14,13,64,0,3,1
1104|11268,905,919,1063,434,530,540,200,212,269,30,83,34
1104|11269,102,104,135,418,519,504,425,548,353,33,111,58
1104|11270,169,255,296,454,607,612,231,304,333,30,106,63
1104|11271,46,49,55,108,118,137,65,96,130,6,24,13
1104|11272,80,106,108,104,98,109,69,86,108,7,9,11
1104|11273,5,7,8,224,155,147,132,140,170,7,42,16
1104|11274,1049,1414,1704,1858,2230,2209,1199,1332,1304,55,168,76
1104|11275,440,542,643,516,804,859,295,402,347,26,90,61
1104|11276,194,279,311,95,132,153,16,10,10,1,10,6
1104|11277,152,188,244,156,193,195,139,135,176,14,50,17
1104|11278,18,26,30,232,303,323,170,224,160,3,5,2
1104|11279,170,227,268,231,239,246,119,126,114,19,41,17
1104|11280,21,21,25,32,54,53,12,7,19,3,12,8
