term_id,term_name,gene
FS001,Major facilitator superfamily transporter,1104|14280
FS001,Major facilitator superfamily transporter,1104|14352
FS001,Major facilitator superfamily transporter,1104|14355
FS001,Major facilitator superfamily transporter,1104|14395
FS001,Major facilitator superfamily transporter,1104|14428
FS001,Major facilitator superfamily transporter,1104|14466
FS001,Major facilitator superfamily transporter,1104|14482
FS001,Major facilitator superfamily transporter,1104|14503
FS001,Major facilitator superfamily transporter,1104|14506
FS001,Major facilitator superfamily transporter,1104|14552
FS001,Major facilitator superfamily transporter,1104|14561
FS001,Major facilitator superfamily transporter,1104|14573
FS001,Major facilitator superfamily transporter,1104|14595
FS001,Major facilitator superfamily transporter,1104|14661
FS001,Major facilitator superfamily transporter,1104|14710
FS001,Major facilitator superfamily transporter,1104|14724
FS001,Major facilitator superfamily transporter,1104|14728
FS001,Major facilitator superfamily transporter,1104|14757
FS001,Major facilitator superfamily transporter,1104|14845
FS001,Major facilitator superfamily transporter,1104|14876
FS001,Major facilitator superfamily transporter,1104|14926
FS001,Major facilitator superfamily transporter,1104|14929
FS001,Major facilitator superfamily transporter,1104|14948
FS001,Major facilitator superfamily transporter,1104|14950
FS001,Major facilitator superfamily transporter,1104|14998
FS001,Major facilitator superfamily transporter,1104|15079
FS001,Major facilitator superfamily transporter,1104|15091
FS001,Major facilitator superfamily transporter,1104|15283
FS001,Major facilitator superfamily transporter,1104|15286
FS001,Major facilitator superfamily transporter,1104|15289
FS001,Major facilitator superfamily transporter,1104|15329
FS001,Major facilitator superfamily transporter,1104|15345
FS001,Major facilitator superfamily transporter,1104|15348
FS001,Major facilitator superfamily transporter,1104|15666
FS001,Major facilitator superfamily transporter,1104|15725
FS001,Major facilitator superfamily transporter,1104|15806
FS001,Major facilitator superfamily transporter,1104|15840
FS001,Major facilitator superfamily transporter,1104|15935
FS001,Major facilitator superfamily transporter,1104|16019
FS001,Major facilitator superfamily transporter,1104|16142
FS001,Major facilitator superfamily transporter,1104|16153
FS001,Major facilitator superfamily transporter,1104|16202
FS001,Major facilitator superfamily transporter,1104|16212
FS001,Major facilitator superfamily transporter,1104|16240
FS001,Major facilitator superfamily transporter,1104|16288
FS001,Major facilitator superfamily transporter,1104|16289
FS001,Major facilitator superfamily transporter,1104|16321
FS001,Major facilitator superfamily transporter,1104|16380
FS001,Major facilitator superfamily transporter,1104|16425
FS001,Major facilitator superfamily transporter,1104|16454
FS001,Major facilitator superfamily transporter,1104|16521
FS001,Major facilitator superfamily transporter,1104|16540
FS001,Major facilitator superfamily transporter,1104|16593
FS001,Major facilitator superfamily transporter,1104|16596
FS001,Major facilitator superfamily transporter,1104|16611
FS001,Major facilitator superfamily transporter,1104|16624
FS001,Major facilitator superfamily transporter,1104|16689
FS001,Major facilitator superfamily transporter,1104|16761
FS001,Major facilitator superfamily transporter,1104|16803
FS001,Major facilitator superfamily transporter,1104|16923
FS001,Major facilitator superfamily transporter,1104|16926
FS001,Major facilitator superfamily transporter,1104|16929
FS001,Major facilitator superfamily transporter,1104|16957
FS001,Major facilitator superfamily transporter,1104|16967
FS001,Major facilitator superfamily transporter,1104|17013
FS001,Major facilitator superfamily transporter,1104|17024
FS001,Major facilitator superfamily transporter,1104|17113
FS001,Major facilitator superfamily transporter,1104|17127
FS001,Major facilitator superfamily transporter,1104|17142
FS001,Major facilitator superfamily transporter,1104|17157
FS001,Major facilitator superfamily transporter,1104|17178
FS001,Major facilitator superfamily transporter,1104|17194
FS001,Major facilitator superfamily transporter,1104|17243
FS001,Major facilitator superfamily transporter,1104|17313
FS001,Major facilitator superfamily transporter,1104|17326
FS001,Major facilitator superfamily transporter,1104|17350
FS001,Major facilitator superfamily transporter,1104|17352
FS001,Major facilitator superfamily transporter,1104|17393
FS001,Major facilitator superfamily transporter,1104|17397
FS001,Major facilitator superfamily transporter,1104|17430
FS001,Major facilitator superfamily transporter,1104|17434
FS001,Major facilitator superfamily transporter,1104|17449
FS001,Major facilitator superfamily transporter,1104|17504
FS001,Major facilitator superfamily transporter,1104|17506
FS001,Major facilitator superfamily transporter,1104|17603
FS001,Major facilitator superfamily transporter,1104|17692
FS001,Major facilitator superfamily transporter,1104|17697
FS001,Major facilitator superfamily transporter,1104|17723
FS001,Major facilitator superfamily transporter,1104|17726
FS001,Major facilitator superfamily transporter,1104|17728
FS001,Major facilitator superfamily transporter,1104|17753
FS001,Major facilitator superfamily transporter,1104|17774
FS001,Major facilitator superfamily transporter,1104|17778
FS001,Major facilitator superfamily transporter,1104|17789
FS001,Major facilitator superfamily transporter,1104|17818
FS001,Major facilitator superfamily transporter,1104|17823
FS002,ABC transporter,1104|00146
FS002,ABC transporter,1104|01507
FS002,ABC transporter,1104|01514
FS002,ABC transporter,1104|02259
FS002,ABC transporter,1104|02309
FS002,ABC transporter,1104|02313
FS002,ABC transporter,1104|02916
FS002,ABC transporter,1104|03168
FS002,ABC transporter,1104|03450
FS002,ABC transporter,1104|03780
FS002,ABC transporter,1104|03781
FS002,ABC transporter,1104|03808
FS002,ABC transporter,1104|04328
FS002,ABC transporter,1104|04529
FS002,ABC transporter,1104|04533
FS002,ABC transporter,1104|04661
FS002,ABC transporter,1104|04996
FS002,ABC transporter,1104|05119
FS002,ABC transporter,1104|05377
FS002,ABC transporter,1104|05896
FS002,ABC transporter,1104|06356
FS002,ABC transporter,1104|06437
FS002,ABC transporter,1104|07155
FS002,ABC transporter,1104|07188
FS002,ABC transporter,1104|07515
FS002,ABC transporter,1104|07744
FS002,ABC transporter,1104|08078
FS002,ABC transporter,1104|08178
FS002,ABC transporter,1104|08342
FS002,ABC transporter,1104|08764
FS002,ABC transporter,1104|09116
FS002,ABC transporter,1104|09218
FS002,ABC transporter,1104|09441
FS002,ABC transporter,1104|09458
FS002,ABC transporter,1104|09506
FS002,ABC transporter,1104|09561
FS002,ABC transporter,1104|09824
FS002,ABC transporter,1104|09866
FS002,ABC transporter,1104|09870
FS002,ABC transporter,1104|10254
FS002,ABC transporter,1104|10344
FS002,ABC transporter,1104|10415
FS002,ABC transporter,1104|10476
FS002,ABC transporter,1104|10747
FS002,ABC transporter,1104|10773
FS002,ABC transporter,1104|10777
FS002,ABC transporter,1104|10778
FS002,ABC transporter,1104|10876
FS002,ABC transporter,1104|11280
FS002,ABC transporter,1104|11351
FS002,ABC transporter,1104|11937
FS002,ABC transporter,1104|12484
FS002,ABC transporter,1104|12829
FS002,ABC transporter,1104|13086
FS002,ABC transporter,1104|13398
FS002,ABC transporter,1104|13417
FS002,ABC transporter,1104|14151
FS002,ABC transporter,1104|14334
FS002,ABC transporter,1104|14341
